project_path,layer_id,layer_name,provider,datasource,source_type,resolved_absolute_path,exists,in_repo,file_extension,status
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,NYS_2024_Tax_Parcels_Public_2504_gdb_a00000016_gdbtable_c1961b8e_07ad_4e93_9af9_836c5e6298ec,NYS Tax Parcels (NY7),ogr,./data/parcels_ny7.gpkg|layername=nys_tax_parcels_ny7,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/parcels_ny7.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,Northern___Southern_Hunting_Zone_Line_27c564fa_f8d8_4142_a42d_496361ce7fe1,Northern / Southern Hunting Zone Line,ogr,./data/ag_school_parcels.gpkg|layername=Hunting_NorthSouth_Line,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,Primary___Secondary_Roads_f8f0991d_efe2_4654_b8e1_5d069cfb200e,Primary / Secondary Roads,ogr,./data/ag_school_parcels.gpkg|layername=Roads_Primary,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,School_District_Parcels_458e3d13_05a7_4a4d_93fd_4336263bdf0c,School District Parcels,ogr,./data/ag_school_parcels.gpkg|layername=Candidate_Parcels,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,Soils_SSURGO_218acd96e7e04e96a9d04f680967d902,Soils (SSURGO),ogr,./data/soils_ny7.gpkg|layername=soils_ny7,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/soils_ny7.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,State___Federal_Conservation_Lands_14c1d4fa_bc91_4e17_8882_ae2f6bb55302,State & Federal Conservation Lands,ogr,./data/ag_school_parcels.gpkg|layername=Protected_Lands,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,Surface_Water_c7414cc6_5e3c_43d6_8564_f13eeada5e80,Surface Water,ogr,./data/ag_school_parcels.gpkg|layername=Water_Area,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,Target_School_District_Boundaries_6902ee3e_6c44_448d_bc96_6c9a78a3101f,Target School District Boundaries,ogr,./data/ag_school_parcels.gpkg|layername=School_Districts_Target,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/ag_school_parcels.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,Wetlands_(NWI)_defa79eb5e6440348fab95d4cb0f500c,Wetlands (NWI),ogr,./data/wetlands_ny7.gpkg|layername=wetlands_ny7,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/wetlands_ny7.gpkg,True,True,.gpkg,ok
QField/Ag_School_AgParcels_QField_ny7_slim/Ag_School_AgParcels_NY7_offline.qgz,Wildlife_Management_Units_4efd364e_fbaa_4755_905d_7fcca905d8ca,Wildlife Management Units,ogr,./data/ag_school_parcels.gpkg|layername=Wildlife_Management_Units,file,/mnt/c/Users/PaulMarzocchi/Vivarium/FARM_Time-/QField/Ag_School_AgParcels_QField_ny7_slim/data/ag_school_parcels.gpkg,True,True,.gpkg,ok
